ASV,Kingdom,Phylum,Class,Order,Family,Genus,S23,S24,S25,S26,S27,S28,S29,S37,S38,S39,S40,S41,S42,S43
ASV_ 6,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,NA,NA,12896,494,18364,609,3321,0,12746,443,1568,40010,3671,3055,28176,3237
ASV_ 60,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,NA,0,0,0,31,29,0,46,144,0,0,952,0,898,388
ASV_ 600,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,0,0,0,0,0,0,0,8,0,0,0,0,0,0
ASV_ 601,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Bythopirellula,0,0,0,0,0,0,0,0,0,0,8,0,0,0
ASV_ 602,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,0,0,0,0,0,0,0,0,0,0,8,0,0,0
ASV_ 603,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,0,0,0,0,0,0,0,0,0,0,0,8,0,0
ASV_ 604,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12411,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,8
ASV_ 605,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,8
ASV_ 606,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,7,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 607,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,0,0,7,0,0,0,0,0,0,0,0,0,0,0
ASV_ 608,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,0,0,0,7,0,0,0,0,0,0,0,0,0,0
ASV_ 609,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,0,0,0,7,0,0,0,0,0,0,0,0,0,0
ASV_ 61,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,904,0,20,66,0,292,102,0,0,0,463,199,149,232
ASV_ 610,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,0,0,0,0,7,0,0,0,0,0,0,0,0,0
ASV_ 611,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,0,0,0,0,7,0,0,0,0,0,0,0,0,0
